"Ensembl_gene_id","Omim_inheritance"
"ENSG00000121552","AR"
"ENSG00000160213","AR"
"ENSG00000159692","AD;Sporadic"
"ENSG00000178971","AR"
"ENSG00000102974","AD"
"ENSG00000060069","AR"
"ENSG00000116761","AR"
"ENSG00000164932","Somatic mutation"
"ENSG00000163599","AD"
"ENSG00000044115","AD"
"ENSG00000183230","AD"
"ENSG00000168036","AD;AR;Heterogeneous;Somatic mutation"
"ENSG00000040531","AR"
"ENSG00000171793","AR"
"ENSG00000064601","AR"
"ENSG00000109861","AR;Heterogeneous"
"ENSG00000117984","AR"
"ENSG00000174080","AR"
"ENSG00000143387","AR"
"ENSG00000107611","AR"
"ENSG00000036257","AD"
"ENSG00000158290","XL-R"
"ENSG00000044090","AR"
"ENSG00000153015","AR"
"ENSG00000095485","AR"
"ENSG00000121966","AD"
"ENSG00000166347","AR"
"ENSG00000100243","AR"
"ENSG00000051523","AR"
"ENSG00000165168","XL-R"
"ENSG00000179091","AR"
"ENSG00000172115","AD"
"ENSG00000083799","AD"
"ENSG00000160882","AD;AR"
"ENSG00000179142","AR"
"ENSG00000148795","AR"
"ENSG00000137869","AD;AR"
"ENSG00000138061","AR;Heterogeneous"
"ENSG00000231852","AR"
"ENSG00000019186","AD;AR"
"ENSG00000003137","AR"
"ENSG00000187553","AR"
"ENSG00000135929","AR"
"ENSG00000111012","AR"
"ENSG00000255974","AD"
"ENSG00000165841","AR"
"ENSG00000138109","AD"
"ENSG00000186104","AR"
"ENSG00000155016","AR"
"ENSG00000145476","AR"
"ENSG00000172817","AR"
"ENSG00000198727","Heterogeneous;MT"
"ENSG00000180902","AR"
"ENSG00000173406","AD"
"ENSG00000165617","AD"
"ENSG00000173402","AR"
"ENSG00000115866","AR"
"ENSG00000117593","AR"
"ENSG00000188120","YL"
"ENSG00000205944","YL"
"ENSG00000187191","YL"
"ENSG00000123454","AR"
"ENSG00000137992","AR"
"ENSG00000115827","AR"
"ENSG00000132716","AD"
"ENSG00000187323","AD"
"ENSG00000146038","AR"
"ENSG00000166341","AD;AR"
"ENSG00000152457","AR"
"ENSG00000011465","AD"
"ENSG00000110063","AR"
"ENSG00000204843","AD"
"ENSG00000077279","XL"
"ENSG00000134574","AR"
"ENSG00000132437","AR"
"ENSG00000100523","AR"
"ENSG00000085788","AR"
"ENSG00000175197","Somatic mutation"
"ENSG00000244038","AR"
"ENSG00000162733","AR"
"ENSG00000198171","AR"
"ENSG00000013573","AR"
"ENSG00000215301","XL-D;XL-R"
"ENSG00000067048","YL"
"ENSG00000107201","AD"
"ENSG00000118197","AR"
"ENSG00000177030","AD;AR"
"ENSG00000173077","AD"
"ENSG00000100150","AD"
"ENSG00000175084","AD;AR"
"ENSG00000185000","AR"
"ENSG00000070413","AD"
"ENSG00000183628","AD"
"ENSG00000128191","AD"
"ENSG00000153933","AR"
"ENSG00000114956","AR"
"ENSG00000116133","AR"
"ENSG00000172893","AR"
"ENSG00000117682","AR"
"ENSG00000228716","AR"
"ENSG00000139549","AR;Heterogeneous"
"ENSG00000102967","AR"
"ENSG00000181192","AD;AR"
"ENSG00000184047","AD"
"ENSG00000131504","AD;AR"
"ENSG00000147202","XL-D"
"ENSG00000139734","AD"
"ENSG00000100697","AD;Familial predisposition"
"ENSG00000066084","AD"
"ENSG00000138463","Sporadic"
"ENSG00000144535","AR"
"ENSG00000130826","XL-R"
"ENSG00000150768","AR"
"ENSG00000091140","AR"
"ENSG00000008226","AD;AR"
"ENSG00000082458","XL;XL-R"
"ENSG00000090932","AR"
"ENSG00000128917","AD"
"ENSG00000064195","AD"
"ENSG00000108813","AD"
"ENSG00000105880","AR"
"ENSG00000198947","XL;XL-R"
"ENSG00000132837","AR"
"ENSG00000152592","AR"
"ENSG00000104936","AD"
"ENSG00000104093","AR"
"ENSG00000138346","AD;AR"
"ENSG00000154099","AR"
"ENSG00000165506","AR"
"ENSG00000167646","AR"
"ENSG00000256061","AR"
"ENSG00000164818","AR"
"ENSG00000105877","AR"
"ENSG00000039139","AR"
"ENSG00000122735","AR;Heterogeneous"
"ENSG00000171595","AR"
"ENSG00000187726","AR"
"ENSG00000135924","AD;AR"
"ENSG00000105993","AD"
"ENSG00000108176","AR"
"ENSG00000138246","AD"
"ENSG00000205981","AR"
"ENSG00000168724","AR"
"ENSG00000102580","AR"
"ENSG00000116675","AR"
"ENSG00000119661","AR"
"ENSG00000100246","AR"
"ENSG00000163687","AR"
"ENSG00000106976","AD"
