Ensembl_gene_id Gene_name2 Omim_inheritance
ENSG00000135900 MRPL44 AR,Mi
ENSG00000036257 CUL3 AD
ENSG00000169047 IRS1 AD
ENSG00000081052 COL4A4 AR
ENSG00000169031 COL4A3 AD,AR
ENSG00000168958 MFF AR,Mi
ENSG00000168955 TM4SF20 AD
ENSG00000135917 SLC19A3 AR
ENSG00000135899 SP110 AR
ENSG00000156973 PDE6D AR
ENSG00000144535 DIS3L2 AR
ENSG00000171551 ECEL1 AR
ENSG00000237412 PRSS56 AR
ENSG00000135902 CHRND AD,AR
ENSG00000196811 CHRNG AR
ENSG00000115474 KCNJ13 AD,AR
ENSG00000130561 SAG AR
ENSG00000241635 UGT1A8 AR
ENSG00000163359 COL6A3 AD,AR
ENSG00000115648 MLPH AR
ENSG00000132326 PER2 AD
ENSG00000204104 TRAF3IP1 AR
ENSG00000233608 TWIST2 AD,AR
ENSG00000130414 NDUFA10 AR,Mi
ENSG00000130294 KIF1A AD,AR
ENSG00000172482 AGXT AR
ENSG00000122085 MTERFD2 Mi
ENSG00000180902 D2HGDH AR
ENSG00000188389 PDCD1 Mu
ENSG00000072756 TRNT1 AR
ENSG00000113851 CRBN AR
ENSG00000144455 SUMF1 AR
ENSG00000150995 ITPR1 AD
ENSG00000182533 CAV3 AD,AR
ENSG00000168137 SETD5 AD
ENSG00000163719 MTMR14 AD
ENSG00000156983 BRPF1 AD
ENSG00000187288 CIDEC AR
ENSG00000171135 JAGN1 AR
ENSG00000163702 IL17RC AR
ENSG00000163703 CRELD1 AD
ENSG00000144554 FANCD2 AR
ENSG00000134086 VHL AD,AR
ENSG00000157017 GHRL AD,Mu,AR
ENSG00000157087 ATP2B2 AR
ENSG00000157103 SLC6A1 AD
ENSG00000157152 SYN2 AD
ENSG00000132170 PPARG AD,Mu,AR
ENSG00000154743 TSEN2 AR
ENSG00000132155 RAF1 AD
ENSG00000154764 WNT7A AR
ENSG00000170876 TMEM43 AD
ENSG00000154767 XPC AR
ENSG00000154781 CCDC174 AR
ENSG00000131368 MRPS25 Mi
ENSG00000206561 COLQ AR
ENSG00000169814 BTD AR
ENSG00000129810 SGOL1 AR
ENSG00000174748 RPL15 AD
ENSG00000151090 THRB AD,AR
ENSG00000077092 RARB AD,AR
ENSG00000151092 NGLY1 AR
ENSG00000163513 TGFBR2 AD
ENSG00000163527 STT3B AR
ENSG00000170266 GLB1 AR
ENSG00000170275 CRTAP AR
ENSG00000076242 MLH1 AD,AR
ENSG00000187091 PLCD1 AD,AR
ENSG00000008226 DLEC1 AD,AR
ENSG00000183873 SCN5A AD,AR
ENSG00000185313 SCN10A AD
ENSG00000168356 SCN11A AD
ENSG00000144659 SLC25A38 AR
ENSG00000168028 RPSA AD
ENSG00000168036 CTNNB1 AD
ENSG00000144647 POMGNT2 AR
ENSG00000160746 ANO10 AR
ENSG00000011198 ABHD5 AR
ENSG00000011376 LARS2 AR
ENSG00000163817 SLC6A20 AD,AR,DR
ENSG00000163818 LZTFL1 AR
ENSG00000163820 FYCO1 AR
ENSG00000181585 TMIE AR
ENSG00000160801 PTH1R AD,AR
ENSG00000160796 NBEAL2 AR
ENSG00000181555 SETD2 AD
ENSG00000213689 TREX1 AD,AR
ENSG00000114270 COL7A1 AD,AR
ENSG00000178537 SLC25A20 AR
ENSG00000178057 NDUFAF3 AR,Mi,XLD,XL
ENSG00000172053 QARS AR
